bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,7942780353026534;0,8005150557440404;0,7946098105037043;0,8274889372254521;0,8274889372254521;0,7942780353026534;0,8137978190636153;0,813798441888393;0,8137958598538038;0,8137964826802266;0,7997146367740569;0,0;
40;0,8969927464866596;0,8696343083234881;0,8097745499921729;0,8710822689529955;0,8748683456162164;0,8972115355440022;0,8766435653847435;0,8775470369015637;0,8766415251218062;0,8775449945356988;0,8073194535446506;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,7942780353026534;0,8189119265899912;0,7946098105037043;0,8546144652393748;0,8544109868529391;0,7942780353026534;0,8543372105535859;0,8581742215707323;0,8543352195614033;0,8581722216423489;0,8073194535446506;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,911605603486236;0,8824840896983674;0,8522058920137539;0,8933464101592997;0,8933464101592997;0,939054311183703;0,8932301997136916;0,8931805557125135;0,8932264224387313;0,8931774920726635;0,9173941190514535;0,0;
