bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,8146319758007419;0,8190577169713347;0,8150643704685321;0,8299364024780507;0,8299364024780507;0,8146319758007419;0,8308006857929551;0,83080136048719;0,8307880739146675;0,8307887485986603;0,814946298977425;0,0;
40;0,9434484786193192;0,8483721694363006;0,9437960304870711;0,9579424288469568;0,9579446216032202;0,9605922061177393;0,8576192756094745;0,8580739351870164;0,8575730284278944;0,8575574263605614;0,8201797334839701;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,8146319758007419;0,8310111903942432;0,8150643704685321;0,8322747240226485;0,8322747240226485;0,8146319758007419;0,8389789076244918;0,8394498442004507;0,8389719907470464;0,8389722437535436;0,8201797334839701;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,8876531208024003;0,8526084058636664;0,9625930118713294;0,9956044513964188;0,9956044513964188;0,9712082668935214;0,9911276864743119;0,9911281081582087;0,9945272164570944;0,9911265561270035;0,9490345252003779;0,0;
