bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,8622507760698509;0,0;0,37735159494415205;
1;0,8622507760698509;0,8636410624069656;0,8624759034216769;0,8661481092039608;0,8661481092039608;0,8622507760698509;0,8684808132173701;0,8684316552708019;0,8681324081502539;0,8680793536260306;0,0;0,37735159494415205;
2;0,8622507760698509;0,8642789717664929;0,8624759034216769;0,8684213977412366;0,8684213977412366;0,8622507760698509;0,8705876662384563;0,8706552206012547;0,8702391417698945;0,8703026822775096;0,0;0,37735159494415205;
3;0,8622507760698509;0,8650738290126736;0,8624759034216769;0,8699507094845398;0,8699507094845398;0,8622507760698509;0,8729652413842058;0,87204781218597;0,8714551315621011;0,8705375850870248;0,0;0,37735162982577825;
4;0,8622507760698509;0,867365013628297;0,8624759034216769;0,8707191569348011;0,8707191569348011;0,8622507760698509;0,874454489828653;0,8738664087448758;0,8728839250119991;0,8722862824853578;0,0;0,37735162982577825;
100;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,42857142857142855;
5;0,8622507760698509;0,8688888430683076;0,8624759034216769;0,8721137577944772;0,8721137577944772;0,8622507760698509;0,874454489828653;0,8738664087448758;0,8728951640793202;0,8722975215526789;0,0;0,37735162982577825;
40;0,9005491252231101;0,9101382246991309;0,8873674566461913;0,9454424789386637;0,9454474318460496;0,9056907227500535;0,9468905516593459;0,9485679044198029;0,9334406080172684;0,9378339327080978;0,0;0,39438975483081423;
10;0,8622507760698509;0,8779575320139793;0,8624759034216769;0,8796084633559431;0,8796190169486413;0,8622507760698509;0,8881165594898807;0,887908076085098;0,8880312023803396;0,8878141563058177;0,0;0,37994656527653925;
15;0,8622507760698509;0,8800806618158769;0,8624759034216769;0,9087594702100912;0,9087436429621657;0,8622507760698509;0,9243146888647911;0,9204706021261623;0,9151940479838376;0,9147647987918763;0,0;0,3800312624919427;
80;0,9754631540543428;0,9794523008294405;0,9589961110956738;0,9684118647011805;0,9684118647011805;0,9769474078453897;0,9803573755502816;0,9803624442105251;0,9740203122389023;0,9740203122389023;0,0;0,41970742034014263;
20;0,8622507760698509;0,883675296809451;0,8624759034216769;0,925212752693419;0,9255319481967288;0,8622507760698509;0,9327026498124028;0,9317942557358296;0,9202967653269034;0,9194506015430555;0,0;0,3800904308663062;
60;0,944556020476825;0,9311816138083241;0,9251585934448071;0,9586491996155102;0,956536953932656;0,9400832406699262;0,9616597903846527;0,9609031464156701;0,9658214393259296;0,9657088896824902;0,0;0,4066481923920716;
