bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,9147982127537738;0,9187204796308853;0,9154138742283839;0,9148028338467721;0,9148028338467721;0,9147982127537738;0,9310982220889804;0,9220043157269874;0,9310964891759363;0,9220025828126086;0,9150147588413696;0,0;
40;0,9236042067079101;0,9798331863628408;0,9350021569374747;0,9586382449213561;0,9586382449213561;0,9236042067079101;0,972342232640322;0,972342232640322;0,971907918966189;0,971907918966189;0,9178130562682509;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,9147982127537738;0,9303065963595998;0,9154138742283839;0,9350152104826494;0,9350184139628804;0,9147982127537738;0,9345128454821477;0,9345132282666446;0,93450882624493;0,9345092090294269;0,9175293084276204;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,93372001097252;0,9887998614950904;0,9571665397062428;0,9622293493640172;0,9622293493640172;0,9299060605174274;0,9762915772396654;0,9762915772396654;0,9758628177390264;0,9758628177390264;0,9198804103615857;0,0;
