bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,741319597765305;0,7465964356703617;0,7419909281747906;0,7791071502754009;0,7791071502754009;0,741319597765305;0,7605818370716629;0,7605825045801177;0,7605802799240947;0,7605809474327361;0,7460336810396532;0,0;
40;0,8340425700449638;0,8011816093674842;0,7578443043342109;0,8113758570926193;0,8111188221478737;0,8342453013414254;0,8000568903266629;0,8008538478379457;0,8000552562093508;0,8008522107441648;0,8046322573382265;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,741319597765305;0,7623222361639951;0,7419909281747906;0,7891574633764937;0,7892094613400764;0,741319597765305;0,7889296405547256;0,7897977277281151;0,7889280452137453;0,7897961299294324;0,8029868862524615;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9279586422355012;0,8788176458181451;0,7928478785572018;0,8889128339156073;0,8889128339156073;0,9620782369541866;0,8878471863410082;0,887846322191045;0,8889137821935145;0,8878432694940294;0,9268740507329924;0,0;
