bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,8464675510972727;0,0;0,0;
1;0,8464675510972727;0,8476645357126431;0,8466120284566073;0,8468746753194857;0,8468746753194857;0,8464675510972727;0,8515303808875461;0,8515303808875461;0,8515303808875461;0,8515303808875461;0,0;0,0;
2;0,8464675510972727;0,8483878670908082;0,8466120284566073;0,8560256531358739;0,8560256531358739;0,8464675510972727;0,8550589541738768;0,8557966444409215;0,8550589541738768;0,8557966444409215;0,0;0,0;
3;0,8464675510972727;0,8504040182610961;0,8466120284566073;0,8590540136324512;0,8590540136324512;0,8464675510972727;0,8550589541738768;0,8557966444409215;0,8550589541738768;0,8557966444409215;0,0;0,0;
4;0,8464675510972727;0,8551597821704527;0,8466120284566073;0,8590540136324512;0,8590540136324512;0,8464675510972727;0,8550589541738768;0,8557966444409215;0,8550589541738768;0,8557966444409215;0,0;0,0;
100;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;
5;0,8464675510972727;0,8571563876704433;0,8466120284566073;0,8590540136324512;0,8590540136324512;0,8464675510972727;0,8550589541738768;0,8557966444409215;0,8550589541738768;0,8557966444409215;0,0;0,0;
40;0,8949310452602508;0,8870610550207177;0,8565538948094337;0,9874522998437019;0,9874522998437019;0,8949310452602508;0,9848863398301344;0,9849021965364972;0,9424330481447435;0,9849021878640624;0,0;0,0;
10;0,8464675510972727;0,8646977782636179;0,8466120284566073;0,8590540136324512;0,8590540136324512;0,8464675510972727;0,8550589541738768;0,8557966444409215;0,8550589541738768;0,8557966444409215;0,0;0,0;
15;0,8464675510972727;0,8685720675154677;0,8466120284566073;0,9080247305860564;0,9080247305860564;0,8464675510972727;0,9113244819915374;0,9111078141242915;0,9114599781260678;0,9120022605409659;0,0;0,0;
80;0,9742093883958498;0,999976154625619;0,9270610268595526;0,9906676142593166;0,9906676142593166;0,9779877574835254;0,9991215695524444;0,9991215695524444;0,9991215690460237;0,9991215690460237;0,0;0,0;
20;0,8464675510972727;0,8702525537652007;0,8466120284566073;0,9222319470638609;0,9174914221312412;0,8464675510972727;0,9619765331374205;0,9617040683439615;0,9207148924845152;0,9120890278526131;0,0;0,0;
60;0,9051082726372646;0,937844618726265;0,8701892076469249;0,9905918425027282;0,9905918425027282;0,9051082726372646;0,9990949032949334;0,9990949032949334;0,9990949027718169;0,9990949027718169;0,0;0,0;
