bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,9355791860210809;0,9395029226059699;0,9356211108253154;0,944981432756641;0,944981432756641;0,9355791860210809;0,9543457337455897;0,9543470970275001;0,9543457337455897;0,9543457337455897;0,9358967403491248;0,0;
40;0,9355791860210809;0,991424486759174;0,9361277615560052;0,9944813046176201;0,9944813046176201;0,935579674363849;0,9989985363490076;0,9989985363490076;0,9989393765110312;0,9989393765110312;0,9398317986605632;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,9355791860210809;0,9534731098996082;0,9356211108253154;0,95931966100288;0,95931966100288;0,9355791860210809;0,9593214801216511;0,959356484367451;0,9593201109095992;0,9593541755917948;0,9398317986605632;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9445858016365843;0,9995818614875022;0,9520769255213491;0,9994798238665062;0,9994798238665062;0,9429116098040554;0,9999978344193576;0,9999978344193576;0,9999386707243316;0,9999386707243316;0,9402601846180298;0,0;
