bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
5;0,7779322065588778;0,7869432717917683;0,7781533867179926;0,792685599788959;0,792685599788959;0,7779322065588778;0,788880788783092;0,7911985454303715;0,788880788783092;0,7911985454303715;0,7816975493208744;
40;0,848407839055404;0,8557114673870176;0,8074828381837713;0,9856605296334209;0,9856605296334209;0,848407839055404;0,9901179341619178;0,9901230318403188;0,9353532037390433;0,9902534398415526;0,7921653785365736;
60;0,8602505122699992;0,9186629203224951;0,8377238513718747;0,9909653791843307;0,9909653791843307;0,8602505122699992;0,9949192909928144;0,9949192909928144;0,9949891872704297;0,9949891872704297;0,882496284706818;
15;0,7779322065588778;0,8030952590430712;0,7781533867179926;0,8631744324447012;0,8631744324447012;0,7779322065588778;0,8643169877610599;0,8640965276322483;0,864454887070219;0,8632881950106173;0,7902702887123187;
