bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
5;0,7545084108924889;0,7890706990055694;0,7550231468163072;0,7983543605278431;0,7983543605278431;0,7545084108924889;0,7944227367016494;0,7944236177970342;0,7555428168742806;0,7555428168742806;0,7555438741887425;
40;0,8196563393182912;0,8450030745823454;0,8249397396838929;0,900042459986595;0,900042459986595;0,8485323021462867;0,9266257245137213;0,9266265174995676;0,8416950019599967;0,8416950019599967;0,8416943851932273;
60;0,9090534224872635;0,9284998143972572;0,812042265440734;0,9011210088471668;0,9011210088471668;0,9090534224872635;0,9266257245137213;0,9266265174995676;0,9460525561061717;0,9460525561061717;0,9460519393394022;
15;0,7545084108924889;0,8040754009710904;0,7550231468163072;0,8824667216881364;0,8820731363797324;0,7545084108924889;0,8794973421317169;0,8793537235839894;0,7946090883755412;0,7946090883755412;0,7946084716087718;
