bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,8534920467053755;0,8581445001353364;0,8539064267114566;0,8536461081349627;0,8536461081349627;0,8534920467053755;0,8624386786458369;0,8623858801426597;0,8624386786458369;0,8623881309752944;0,8560771312912024;0,0;
40;0,8981968511777986;0,906629786893584;0,8872403207412899;0,9045055607251871;0,9045055607251871;0,8867595051225395;0,9288049343527914;0,9314318512571783;0,9288060997025283;0,9314329653989962;0,8593146869883018;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,8534920467053755;0,8701971751149941;0,8539064267114566;0,8626766403689192;0,8626766403689192;0,8534920467053755;0,9288049343527914;0,9286915632061262;0,9288060997025283;0,9286927304140967;0,8593146869883018;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9468407898656958;0,9005980703408302;0,9522166064648611;0,9861739051341534;0,9847211719784664;0,968561984837354;0,9898548736383094;0,9894120688897683;0,9865090230785563;0,9860848601646927;0,8942617451717634;0,0;
