bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,929606611735678;0,9351552130192814;0,9302684203825407;0,939196305447702;0,939196305447702;0,929606611735678;0,9390377366586421;0,9371318965741605;0,9389038409543654;0,9369982689496958;0,9298603418956125;0,0;
40;0,9276674099034348;0,9788967852840929;0,9313776984956162;0,9833455542506735;0,9833455542506735;0,9347002070136643;0,9965352016180046;0,9965352016180046;0,9942582661947246;0,9942582661947246;0,9344574299576638;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,929606611735678;0,9443623519911587;0,9302684203825407;0,9644893336362688;0,9644893336362688;0,929606611735678;0,9514415741841169;0,9514421771072692;0,9513035223743954;0,9513041252127391;0,9341274300189609;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9483772172624536;0,992896459906565;0,9476361242210609;0,9865699872692777;0,9865699872692777;0,948933112408892;0,9998182186695757;0,9998182186695757;0,9975408214496313;0,9975408214496313;0,9365200300617483;0,0;
