bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,9352210904343257;0,9381799211544363;0,9358183689971182;0,9352258838419522;0,9352258838419522;0,9352210904343257;0,9521446155102887;0,942700603859512;0,9521428179824287;0,942698806331652;0,9354430851250275;0,0;
40;0,9420461039931782;0,9792595243761255;0,9366963614940372;0,9855613574650782;0,9855613574650782;0,9420461039931782;0,9987724881969827;0,9987724881969827;0,9987700914931694;0,9987700914931694;0,9382146733597284;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,9352210904343257;0,946543219110757;0,9358183689971182;0,9621528511837669;0,9621555474755569;0,9352210904343257;0,9619269618493685;0,9619273613000041;0,9619227676176954;0,9619231670683309;0,9380104542223081;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9559559737493026;0,9926277390704564;0,9464813042622481;0,9866959969953323;0,9866959969953323;0,9444925394105487;0,9998921483284039;0,9998921483284039;0,9998897516245907;0,9998897516245907;0,938790980764155;0,0;
