bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,9273829904639523;0,9307188560873514;0,9277502623210054;0,9684042935786242;0,9684042935786242;0,9273829904639523;0,9463912172637529;0,9463912172637529;0,9463908805230526;0,9463908805230526;0,9274266545080825;0,0;
40;0,9299124743571957;0,9954818377780861;0,9384955458185111;0,9642618217312693;0,964264291163071;0,9299126988509958;0,9863952267230236;0,9864035329936293;0,9863948899823234;0,986403196252929;0,9319289899170855;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,9273829904639523;0,9401224523882324;0,9277502623210054;0,984287454433371;0,984287454433371;0,9273829904639523;0,9849859668925524;0,9849974160763603;0,9849856301518521;0,9849970793356599;0,9318757848864488;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9397354250767657;0,9974702916129565;0,978144181592137;0,9971957356953673;0,9971957356953673;0,9704660446392452;0,9965610917223299;0,9964939680760836;0,9965588467843284;0,9964935190884834;0,9648507812159751;0,0;
