bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,9219803573923251;0,9273640346213993;0,922349933817641;0,9621920065496312;0,9621920065496312;0,9219803573923251;0,9403382263734723;0,9403382263734723;0,9403359503896214;0,9403359503896214;0,9243020776806294;0,0;
40;0,9042542365000831;0,9818718970076123;0,9310851598374688;0,9685696384404568;0,9685720228044912;0,9042542365000831;0,9775178315206206;0,9775259600343739;0,9775155555367696;0,9775236840505229;0,9296803359005348;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,9219803573923251;0,9361300406133061;0,922349933817641;0,9779647913968678;0,9779647913968678;0,9219803573923251;0,9763706272795739;0,9763816820582784;0,9763683512957231;0,9763794060744275;0,9294642258148808;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,9253827364890825;0,9988524706184032;0,9708925509107783;0,9969554922687538;0,9969554922687538;0,9722597669240804;0,9968519891936287;0,9968168740142145;0,9969036865410995;0,9968499299701445;0,9619825076551634;0,0;
