bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
5;0,8247311558613771;0,827686760717185;0,8250035939815279;0,8284883224035378;0,8284883224035378;0,8247311558613771;0,849141752826299;0,8491267448456078;0,8493623857356937;0,8491267448456078;0,8259558707139;
40;0,9374822645285468;0,8716790966215782;0,907881636161429;0,9187469505045235;0,9187469505045235;0,9492515637736214;0,9188470227142874;0,9188489578943451;0,8648154902197175;0,8693991630632377;0,9267864821361299;
60;0,9573167803469849;0,8810282172584751;0,9193545550786667;0,983502333204328;0,983502333204328;0,957373950473291;0,920113734239926;0,9201160469524037;0,9348246889804293;0,9357707430941565;0,9770703606339404;
15;0,8247311558613771;0,8437261816448903;0,8250035939815279;0,8411754472512936;0,8411754472512936;0,8247311558613771;0,8987035902000462;0,8479769332703578;0,859215681805547;0,8559724093644266;0,851055995423125;
