bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;Compound;
0;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,8487238900223025;0,0;0,0;
1;0,8487238900223025;0,85439214239132;0,8489173421266535;0,8488032617645703;0,8488032617645703;0,8487238900223025;0,8535213436429092;0,8535213436429092;0,8535213436429092;0,8535213436429092;0,0;0,0;
2;0,8487238900223025;0,8547710301421458;0,8489173421266535;0,8488032617645703;0,8488032617645703;0,8487238900223025;0,861664831543828;0,8616670338674203;0,861664831543828;0,8616670338674203;0,0;0,0;
3;0,8487238900223025;0,85509811924208;0,8489173421266535;0,8488032617645703;0,8488032617645703;0,8487238900223025;0,8636293922811377;0,8636126546218359;0,8636293922811377;0,8636126546218359;0,0;0,0;
4;0,8487238900223025;0,8576660285507469;0,8489173421266535;0,8503564284548313;0,8503564284548313;0,8487238900223025;0,8639208918318196;0,8639041541725179;0,8640695927207743;0,8639041541725179;0,0;0,0;
100;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;1,0;0,0;0,0;
5;0,8487238900223025;0,8616742574888032;0,8489173421266535;0,8535144723933011;0,8535144723933011;0,8487238900223025;0,8639208918318196;0,8639041541725179;0,8640695927207743;0,8639041541725179;0,0;0,0;
40;0,959890401806892;0,8876107581569441;0,903503782314584;0,9446238946648007;0,9446238946648007;0,959890401806892;0,9475124622885119;0,9475142241473858;0,8891084262926781;0,8891130952186939;0,0;0,0;
10;0,8487238900223025;0,8669322610190398;0,8489173421266535;0,8631809111047939;0,8631809111047939;0,8487238900223025;0,8639208918318196;0,8639073255184908;0,8738020130470935;0,8736629142890014;0,0;0,0;
15;0,8487238900223025;0,8672368864183321;0,8489173421266535;0,8631809111047939;0,8631809111047939;0,8487238900223025;0,9242361923340288;0,8639073255184908;0,8831728999324944;0,8802764920367943;0,0;0,0;
80;0,9737799281461096;0,951782062990507;0,9914086475733433;0,9466599868723895;0,9466599868723895;0,980482479767033;0,9983779446277707;0,9983779446277707;0,9397168534222391;0,9397168534222391;0,0;0,0;
20;0,8487238900223025;0,8679822408149231;0,8489173421266535;0,9307275851689186;0,9307279375406934;0,8487238900223025;0,9397180867234508;0,9346959960964255;0,8841058922991527;0,8841018400237428;0,0;0,0;
60;0,9611131318653584;0,8876699566151062;0,9179604510253006;0,9466599868723895;0,9466599868723895;0,966776186750698;0,9492750259059324;0,949280311482554;0,93753073893154;0,9375309151174275;0,0;0,0;
