bandwidth;Size(BigestOnTop);Size(SmallerOnTop);PageRank;Jaccard;TripleDistance;Quantitative;Dynamics-Jaccard;Dynamics-TripleDistance;DynamicsH-Jaccard;DynamicsH-TripleDistance;Age;
0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
1;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
2;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
3;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
4;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
100;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
5;0,8121812857949575;0,8157018394263381;0,8126964677375038;0,8257380651024696;0,8257380651024696;0,8121812857949575;0,8250885365192719;0,8241842636546313;0,8246195805795207;0,8235285627946415;0,8147529716735785;0,0;
40;0,8740536308596714;0,8734779388802648;0,8599851297660687;0,9077926788559451;0,9077743423523723;0,8778135835643471;0,9044673640222932;0,9043959283684021;0,8939653570699374;0,8941283487778883;0,8373949061493249;0,0;
10;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
15;0,8121812857949575;0,8289630175028393;0,8126964677375038;0,8677836669467405;0,8685554987178123;0,8121812857949575;0,8762658824059173;0,8756607057066889;0,8712723021137088;0,8702742181690845;0,8276977947418455;0,0;
80;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
20;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;0,0;
60;0,936082502455004;0,9038146928419242;0,9063636928738992;0,9581373544320778;0,95803679598236;0,9374573619581339;0,9319078776304354;0,933569073990437;0,9310534864315944;0,9305247580443782;0,9139353420350831;0,0;
